first_name,last_name,student_id,gender,grade
Yalonda,Eccott,1796,Female,11
Marleah,Gammill,1868,Female,1
Myrtle,Carrane,1834,Female,1
Othilie,Scholtis,1467,Female,8
Rozalin,Cheng,1691,Female,8
Jeannie,Sinnock,1529,Female,5
Lyda,Kroger,1453,Female,9
Justin,Perry,1283,Male,2
Rhianon,Gouinlock,1468,Female,8
Gwyn,LAbbet,1894,Female,9
Tallie,Bauser,1214,Female,1
Herb,Bax,1244,Male,12
Brigit,Geraud,1567,Female,11
Deloris,Delea,1189,Female,7
Shelby,Fredi,1222,Male,8
Eleonora,Voysey,1353,Female,11
Dix,Oxbury,1635,Female,10
Rhianna,Kehoe,1879,Female,1
Ashli,Piatkowski,1531,Female,12
Bronny,Dashwood,1721,Male,11
Virgie,Boulde,1592,Female,7
Adela,Tampin,1903,Female,8
Randal,O' Sullivan,1954,Male,6
Brandy,Caser,1756,Male,6
Kevan,Corss,1885,Male,6
Artair,Prowse,1375,Male,9
Karola,Marlin,1188,Female,7
Glynis,Adolfson,1739,Female,6
Malachi,Scurr,1655,Male,5
Caren,Prescott,1784,Female,11
Arron,Antonchik,1435,Male,7
Barron,Dandie,1775,Male,8
Abrahan,Stearns,1713,Male,6
Sileas,Bellwood,1542,Female,10
Bondon,Harford,1223,Male,6
Emilee,Riccardo,1651,Female,9
Frazier,Piscopello,1294,Male,11
Melodee,Stockings,1936,Female,10
Kay,Lawtey,1939,Female,7
Hartley,Oliveira,1787,Male,6
Erma,Mazin,1323,Female,7
Mireille,Amies,1752,Female,2
Marcelle,Bennallck,1947,Female,4
Meg,Keaysell,1092,Female,4
Aliza,Varlow,1687,Female,12
Anitra,Bosward,1000,Female,2
Berte,Haslin,1030,Female,8
Barnabas,Bolens,1601,Male,2
Minor,Brammar,1750,Male,5
Hendrika,Lindop,1621,Female,5
Henry,Crevy,1265,Male,9
Ewen,Frankel,1626,Male,12
Katine,Hacking,1837,Female,9
Sacha,Volage,1424,Female,3
Rudyard,Swires,1698,Male,4
Latisha,Danbury,1678,Female,4
Kirby,Caccavale,1614,Female,2
Adolphus,Orbine,1872,Male,10
Eldredge,Blasius,1463,Male,11
Auria,Olensby,1304,Female,1
Gwennie,Ranstead,1949,Female,2
Simeon,Fabbro,1213,Male,5
Antonio,Ivashkov,1917,Male,12
Fanchon,Nelthorpe,1952,Female,7
Sylvan,Daintry,1950,Male,12
Dennison,Burndred,1631,Male,8
Yanaton,Twede,1621,Male,8
Hershel,Hufton,1817,Male,9
Harlen,Kinnen,1930,Male,9
Zaneta,Hatherall,1039,Female,7
Cris,Colling,1259,Male,3
Avivah,Clayworth,1337,Female,4
Jasun,Boules,1503,Male,12
Mallory,Abeles,1603,Female,11
Vincents,Rimes,1736,Male,6
Maurits,Hulatt,1829,Male,8
Neila,Hegden,1807,Female,5
Aubine,Birkenshaw,1747,Female,12
Jasmine,Banane,1254,Female,1
Teresita,Laise,1358,Female,12
Siouxie,Reany,1808,Female,3
Lilly,Lamasna,1967,Female,8
Debbie,Pettyfer,1496,Female,6
Remington,Pechet,1243,Male,6
Erich,Duffree,1761,Male,12
Colene,Mateiko,1094,Female,3
Torrie,Colston,1623,Female,3
Anne-corinne,Wellstood,1021,Female,1
Harland,Emsley,1877,Male,2
Phaidra,MacCague,1858,Female,8
Alec,Tupman,1856,Male,8
Belle,Terbeck,1382,Female,12
Hamish,McQuorkel,1055,Male,10
Renee,Ramsay,1573,Female,10
Farlay,Szymanski,1648,Male,7
Joaquin,Cristofvao,1032,Male,1
Pyotr,Boost,1549,Male,9
Inness,Ossenna,1087,Male,12
Rolando,Vedenyapin,1907,Male,9
